Tiepoint_ID ,height,time_1,pos_inert_zeroh_1_x,pos_inert_zeroh_1_y,pos_inert_zeroh_1_z,lat_zeroh_1,wlon_zeroh_1,time_2,pos_inert_zeroh_2_x,pos_inert_zeroh_2_y,pos_inert_zeroh_2_z,lat_zeroh_2,wlon_zeroh_2,residual_dist_zeroh
        t8s01t41s02_usgs2_10,  0.046, 183743989.420,    -592.76,   -2491.50,    -267.77,-11.1894,-167.4514, 256974153.452,    1678.16,   -1886.13,    -506.87,-11.0278,-167.5927,      9.572
        t8s01t36s04_usgs2_12, -0.437, 183743984.899,    -459.39,   -2530.94,    -118.10, -7.6343,-170.3271, 244573378.302,    1748.55,   -1850.40,    -386.28, -8.1253,-169.3936,     47.049
       t13s03t36s04_usgs2_41, -0.454, 199705093.454,    -944.23,    2355.93,    -434.35, -7.6649,-170.3576, 244573378.573,    1749.41,   -1849.32,    -387.56, -8.1503,-169.4277,     46.791
       t13s03t36s04_usgs2_42, -0.444, 199705094.415,    -921.17,    2368.96,    -412.45, -7.1098,-169.8271, 244573376.947,    1734.04,   -1868.77,    -362.54, -7.6542,-168.8154,     51.300
       t36s04t39s03_usgs2_73,  0.000, 244573349.457,    1558.50,   -2035.62,     240.75,  5.0955,-161.8929, 251464755.565,    1592.38,   -2009.68,     236.96,  5.1205,-162.0726,      8.124
      t36s01t36s02_usgs2_131,  0.000, 244570973.306,   -1482.15,    1933.74,    -833.37,-18.5244,  19.0780, 244570973.306,   -1482.77,    1933.58,    -832.63,-18.5087,  19.0620,      0.984
      t36s01t36s02_usgs2_132,  0.000, 244570981.450,   -1524.75,    1840.84,    -957.64,-21.6993,  17.3170, 244570981.450,   -1525.10,    1840.81,    -957.15,-21.6884,  17.3085,      0.603
      t36s01t36s02_usgs2_133,  0.000, 244571070.975,   -1336.95,    1931.61,   -1054.55,-23.4606,  22.5468, 244571070.975,   -1335.16,    1933.33,   -1053.67,-23.4324,  22.6028,      2.633
      t36s01t36s02_usgs2_134, -0.215, 244571415.194,    -990.32,    1897.61,   -1431.42,-32.1801,  31.0221, 244571179.830,    -989.51,    1898.39,   -1430.94,-32.1642,  30.9867,      1.524
      t36s01t36s02_usgs2_135,  0.000, 244571243.318,    -846.50,    1612.26,   -1820.63,-43.3039,  32.8678, 244571243.318,    -846.83,    1612.47,   -1820.29,-43.2940,  32.8599,      0.514
      t36s01t36s02_usgs2_136,  0.000, 244571257.992,    -802.45,    1584.00,   -1864.84,-44.6048,  33.9758, 244571947.315,    -808.73,    1582.13,   -1863.72,-44.5917,  33.9490,      1.040
      t36s01t36s02_usgs2_137, -0.045, 244571374.275,    -745.17,    1731.80,   -1753.91,-40.7890,  36.7224, 244571374.275,    -745.51,    1731.92,   -1753.65,-40.7819,  36.7133,      0.443
      t36s01t36s02_usgs2_138,  0.000, 244571386.099,    -869.69,    1616.59,   -1805.79,-42.9075,  32.2519, 244571386.099,    -870.71,    1616.57,   -1805.32,-42.8961,  32.2215,      1.125
      t36s01t36s02_usgs2_139,  0.000, 244571097.747,   -1298.72,    1938.60,   -1088.93,-24.1967,  23.5261, 244571097.747,   -1298.32,    1938.72,   -1089.20,-24.2023,  23.5368,      0.506
      t36s01t36s02_usgs2_140,  0.000, 244570958.455,   -1345.15,    1968.62,    -972.49,-21.4502,  22.5918, 244570958.455,   -1345.14,    1968.68,    -972.38,-21.4476,  22.5927,      0.123
      t36s02t36s01_usgs2_151,  0.000, 244571480.618,   -1495.60,    1930.56,    -816.54,-18.1657,  18.8674, 244571480.618,   -1495.83,    1930.33,    -816.67,-18.1695,  18.8602,      0.351
      t36s02t36s01_usgs2_152,  0.000, 244571059.284,   -1524.36,    1837.31,    -965.02,-21.8803,  17.3142, 244571059.284,   -1523.92,    1837.75,    -964.87,-21.8751,  17.3285,      0.639
      t36s02t36s01_usgs2_153,  0.000, 244571069.043,   -1349.57,    1930.21,   -1040.95,-23.1626,  22.2333, 244571069.043,   -1349.70,    1930.56,   -1040.13,-23.1427,  22.2328,      0.894
      t21s01t30s01_usgs2_191, -0.113, 219195628.278,    -693.13,    1711.51,    1794.69, 45.8056,-124.8741, 232273481.738,     952.87,   -1482.07,    1877.80, 45.6639,-125.0754,      8.970
      t21s01t30s01_usgs2_192, -0.266, 219195623.328,    -638.73,    1687.57,    1837.05, 47.2659,-123.8419, 232273447.359,     892.28,   -1446.08,    1934.76, 47.4059,-123.6082,      9.501
      t41s01t43s01_usgs2_337, -0.256, 256972775.254,     790.44,    1862.88,   -1592.34,-32.3137,  80.0743, 263857446.839,     831.37,    1843.38,   -1594.18,-32.3041,  80.2859,      8.050
      t41s01t43s04_usgs2_340,  0.118, 256973161.678,    1470.15,    1206.22,   -1736.18,-35.8233, 105.7307, 263852293.478,    1139.87,    2308.91,      15.92,  6.3442,  78.7946,   2142.798
      t41s01t43s04_usgs2_341,  0.184, 256973159.308,    1446.99,    1205.93,   -1755.73,-36.4152, 105.3297, 263852293.478,    1114.34,    2321.33,      17.86,  6.3571,  78.1575,   2167.313
      t41s01t43s04_usgs2_342,  0.000, 256973219.079,    1567.14,    1067.60,   -1742.10,-36.0268, 110.3917, 263852293.478,    1196.45,    2273.40,     175.53,  9.9631,  80.1236,   2342.550
      t41s01t43s04_usgs2_343,  0.307, 256973117.743,    1390.87,    1300.50,   -1733.44,-35.7526, 102.3401, 263852293.478,    1092.77,    2329.63,     -96.29,  3.7946,  77.7677,   2002.002
      t41s01t43s05_usgs2_390,  0.000, 256973215.010,    1664.85,    1127.98,   -1608.28,-32.1054, 110.5844, 263852293.478,    1338.62,    2196.97,     109.68,  8.6460,  83.8217,   2098.772
      t41s01t43s05_usgs2_391,  0.000, 256973199.470,    1625.30,    1158.81,   -1626.71,-32.6205, 109.3121, 263852293.478,    1306.39,    2217.78,      73.71,  7.8125,  82.9915,   2077.130
      t41s01t43s05_usgs2_392,  0.000, 256973191.640,    1605.11,    1172.87,   -1636.66,-32.9022, 108.6927, 263852293.478,    1288.17,    2228.84,      59.36,  7.4745,  82.5265,   2071.268
      t41s01t43s05_usgs2_393,  0.000, 256973192.765,    1627.17,    1182.67,   -1607.56,-32.0694, 108.8348, 263852293.478,    1318.02,    2211.59,      48.08,  7.2540,  83.3093,   2022.541
      t41s01t43s06_usgs2_400,  0.000, 256973215.010,    1664.84,    1128.08,   -1608.22,-32.1036, 110.5820, 263852293.478,    1338.52,    2197.14,     107.47,  8.5965,  83.8195,   2096.963
