Tiepoint_ID ,height,time_1,pos_inert_1_x,pos_inert_1_y,pos_inert_1_z,lat_1,wlon_1,time_2,pos_inert_2_x,pos_inert_2_y,pos_inert_2_z,lat_2,wlon_2,residual_dist
        t8s01t41s02_usgs2_10,  0.046, 183743989.420,    -592.80,   -2491.52,    -267.90,-11.1924,-167.4508, 256974153.452,    1678.04,   -1886.25,    -507.04,-11.0318,-167.5893,      9.454
        t8s01t36s04_usgs2_12, -0.437, 183743984.899,    -458.94,   -2530.66,    -116.17, -7.5913,-170.3328, 244573378.302,    1745.32,   -1852.55,    -387.70, -8.1682,-169.3123,     52.298
       t13s03t36s04_usgs2_41, -0.454, 199705093.454,    -943.72,    2356.17,    -431.45, -7.6002,-170.3522, 244573378.573,    1746.07,   -1851.53,    -389.02, -8.1947,-169.3435,     52.240
       t13s03t36s04_usgs2_42, -0.444, 199705094.415,    -920.66,    2369.20,    -409.38, -7.0413,-169.8219, 244573376.947,    1730.57,   -1871.07,    -364.08, -7.7006,-168.7279,     57.043
       t36s04t39s03_usgs2_73,  0.000, 244573349.457,    1558.50,   -2035.62,     240.75,  5.0955,-161.8929, 251464755.565,    1592.38,   -2009.68,     236.96,  5.1205,-162.0726,      8.124
      t36s01t36s02_usgs2_131,  0.000, 244570973.306,   -1482.15,    1933.74,    -833.37,-18.5244,  19.0780, 244570973.306,   -1482.77,    1933.58,    -832.63,-18.5087,  19.0620,      0.984
      t36s01t36s02_usgs2_132,  0.000, 244570981.450,   -1524.75,    1840.84,    -957.64,-21.6993,  17.3170, 244570981.450,   -1525.10,    1840.81,    -957.15,-21.6884,  17.3085,      0.603
      t36s01t36s02_usgs2_133,  0.000, 244571070.975,   -1336.95,    1931.61,   -1054.55,-23.4606,  22.5468, 244571070.975,   -1335.16,    1933.33,   -1053.67,-23.4324,  22.6028,      2.633
      t36s01t36s02_usgs2_134, -0.215, 244571415.194,    -989.69,    1898.03,   -1430.92,-32.1676,  31.0402, 244571179.830,    -988.88,    1898.81,   -1430.44,-32.1517,  31.0047,      1.527
      t36s01t36s02_usgs2_135,  0.000, 244571243.318,    -846.50,    1612.26,   -1820.63,-43.3039,  32.8678, 244571243.318,    -846.83,    1612.47,   -1820.29,-43.2940,  32.8599,      0.514
      t36s01t36s02_usgs2_136,  0.000, 244571257.992,    -802.45,    1584.00,   -1864.84,-44.6048,  33.9758, 244571947.315,    -808.73,    1582.13,   -1863.72,-44.5917,  33.9490,      1.040
      t36s01t36s02_usgs2_137, -0.045, 244571374.275,    -745.07,    1731.87,   -1753.82,-40.7868,  36.7255, 244571374.275,    -745.40,    1731.99,   -1753.56,-40.7798,  36.7165,      0.443
