Tiepoint_ID ,height,time_1,pos_inert_1_x,pos_inert_1_y,pos_inert_1_z,lat_1,wlon_1,time_2,pos_inert_2_x,pos_inert_2_y,pos_inert_2_z,lat_2,wlon_2,residual_dist
        t8s01t41s02_usgs2_10,  0.046, 183743989.420,    -592.80,   -2491.52,    -267.90,-11.1757,-167.5934, 256974153.452,    1678.04,   -1886.25,    -507.04,-11.0220,-167.6505,      7.354
        t8s01t36s04_usgs2_12, -0.437, 183743984.899,    -458.93,   -2530.66,    -116.17, -7.5753,-170.4761, 244573378.302,    1745.31,   -1852.55,    -387.70, -8.1606,-169.3549,     56.412
       t13s03t36s04_usgs2_41, -0.454, 199705093.454,    -943.72,    2356.17,    -431.45, -7.6085,-170.4821, 244573378.573,    1746.07,   -1851.54,    -389.02, -8.1871,-169.3861,     55.277
       t13s03t36s04_usgs2_42, -0.444, 199705094.415,    -920.66,    2369.21,    -409.38, -7.0497,-169.9516, 244573376.947,    1730.56,   -1871.08,    -364.08, -7.6929,-168.7707,     60.038
       t36s04t39s03_usgs2_73,  0.000, 244573349.457,    1558.49,   -2035.63,     240.75,  5.1049,-161.9387, 251464755.565,    1592.38,   -2009.68,     236.97,  5.1308,-162.1267,      8.494
      t36s01t36s02_usgs2_131,  0.000, 244570973.306,   -1482.15,    1933.74,    -833.37,-18.5343,  19.0283, 244570973.306,   -1482.77,    1933.58,    -832.63,-18.5186,  19.0123,      0.984
      t36s01t36s02_usgs2_132,  0.000, 244570981.450,   -1524.75,    1840.84,    -957.64,-21.7088,  17.2663, 244570981.450,   -1525.10,    1840.81,    -957.15,-21.6979,  17.2578,      0.603
      t36s01t36s02_usgs2_133,  0.000, 244571070.975,   -1336.95,    1931.61,   -1054.55,-23.4713,  22.4960, 244571070.975,   -1335.16,    1933.33,   -1053.67,-23.4432,  22.5520,      2.633
      t36s01t36s02_usgs2_134, -0.215, 244571415.194,    -989.69,    1898.03,   -1430.92,-32.1802,  30.9878, 244571179.830,    -988.88,    1898.81,   -1430.44,-32.1644,  30.9524,      1.525
      t36s01t36s02_usgs2_135,  0.000, 244571243.318,    -846.50,    1612.26,   -1820.63,-43.3169,  32.8122, 244571243.318,    -846.82,    1612.47,   -1820.29,-43.3070,  32.8043,      0.514
      t36s01t36s02_usgs2_136,  0.000, 244571257.992,    -802.45,    1584.01,   -1864.84,-44.6180,  33.9200, 244571947.315,    -808.73,    1582.13,   -1863.72,-44.6048,  33.8931,      1.044
      t36s01t36s02_usgs2_137, -0.045, 244571374.275,    -745.07,    1731.87,   -1753.82,-40.8006,  36.6716, 244571374.275,    -745.40,    1731.99,   -1753.56,-40.7935,  36.6625,      0.443
      t36s01t36s02_usgs2_138,  0.000, 244571386.099,    -869.69,    1616.59,   -1805.79,-42.9204,  32.1962, 244571386.099,    -870.71,    1616.57,   -1805.32,-42.9090,  32.1658,      1.125
      t36s01t36s02_usgs2_139,  0.000, 244571097.747,   -1298.72,    1938.60,   -1088.93,-24.2077,  23.4751, 244571097.747,   -1298.32,    1938.72,   -1089.20,-24.2133,  23.4858,      0.506
      t36s01t36s02_usgs2_140,  0.000, 244570958.455,   -1345.15,    1968.62,    -972.49,-21.4610,  22.5416, 244570958.455,   -1345.14,    1968.68,    -972.38,-21.4584,  22.5424,      0.123
      t36s02t36s01_usgs2_151,  0.000, 244571480.618,   -1495.59,    1930.57,    -816.54,-18.1755,  18.8178, 244571480.618,   -1495.83,    1930.33,    -816.67,-18.1793,  18.8106,      0.351
      t36s02t36s01_usgs2_152,  0.000, 244571059.284,   -1524.36,    1837.31,    -965.02,-21.8898,  17.2635, 244571059.284,   -1523.92,    1837.75,    -964.87,-21.8846,  17.2777,      0.639
      t36s02t36s01_usgs2_153,  0.000, 244571069.043,   -1349.57,    1930.21,   -1040.95,-23.1733,  22.1825, 244571069.043,   -1349.70,    1930.56,   -1040.13,-23.1534,  22.1820,      0.894
      t21s01t30s01_usgs2_191, -0.113, 219195628.278,    -692.99,    1711.37,    1794.72, 45.8008,-124.9318, 232273481.738,     953.09,   -1481.80,    1877.74, 45.6766,-125.1493,      8.813
      t21s01t30s01_usgs2_192, -0.266, 219195623.328,    -638.34,    1687.21,    1837.15, 47.2671,-123.8951, 232273447.359,     892.79,   -1445.47,    1934.63, 47.4221,-123.6963,      9.231
      t41s01t43s01_usgs2_337, -0.256, 256972775.254,     789.72,    1862.41,   -1592.83,-32.3495,  80.0014, 263857446.839,     830.94,    1843.89,   -1593.39,-32.3036,  80.1899,      7.447
      t41s01t43s04_usgs2_340,  0.118, 256973161.678,    1470.41,    1206.37,   -1736.03,-35.8302, 105.6757, 263852293.478,    1139.94,    2309.01,      16.06,  6.3308,  78.7118,   2143.194
      t41s01t43s04_usgs2_341,  0.184, 256973159.308,    1447.40,    1206.18,   -1755.48,-36.4177, 105.2757, 263852293.478,    1114.42,    2321.49,      18.10,  6.3457,  78.0743,   2167.708
      t41s01t43s04_usgs2_342,  0.000, 256973219.079,    1567.14,    1067.60,   -1742.10,-36.0395, 110.3363, 263852293.478,    1196.48,    2273.38,     175.50,  9.9462,  80.0412,   2342.902
      t41s01t43s04_usgs2_343,  0.307, 256973117.743,    1391.55,    1300.90,   -1733.05,-35.7487, 102.2877, 263852293.478,    1092.87,    2329.95,     -95.85,  3.7880,  77.6836,   2002.489
      t41s01t43s05_usgs2_390,  0.000, 256973215.010,    1664.85,    1127.98,   -1608.28,-32.1180, 110.5279, 263852293.478,    1338.67,    2196.95,     109.65,  8.6293,  83.7395,   2099.131
      t41s01t43s05_usgs2_391,  0.000, 256973199.470,    1625.30,    1158.81,   -1626.71,-32.6334, 109.2555, 263852293.478,    1306.43,    2217.76,      73.68,  7.7957,  82.9094,   2077.486
      t41s01t43s05_usgs2_392,  0.000, 256973191.640,    1605.11,    1172.87,   -1636.66,-32.9152, 108.6361, 263852293.478,    1288.21,    2228.81,      59.33,  7.4577,  82.4444,   2071.622
      t41s01t43s05_usgs2_393,  0.000, 256973192.765,    1627.17,    1182.67,   -1607.56,-32.0823, 108.7780, 263852293.478,    1318.06,    2211.57,      48.04,  7.2372,  83.2273,   2022.897
      t41s01t43s06_usgs2_400,  0.000, 256973215.010,    1664.84,    1128.08,   -1608.22,-32.1162, 110.5255, 263852293.478,    1338.56,    2197.12,     107.43,  8.5798,  83.7373,   2097.322
      t43s06t41s01_usgs2_401,  0.000, 263852293.478,    1317.28,    2211.02,      82.26,  7.9978,  83.1885, 256973203.910,    1638.46,    1150.37,   -1619.48,-32.4293, 109.6414,   2080.117
      t44s01t43s07_usgs2_422,  0.000, 265234290.622,    1672.99,    1263.06,   -1495.46,-28.9497, 106.5036, 263852293.478,    1394.42,    2162.67,     -95.33,  4.1234,  85.3728,   1710.819
      t44s01t43s07_usgs2_423,  0.000, 265234225.454,    1537.69,    1404.93,   -1514.04,-29.4628, 101.4996, 263852293.478,    1291.99,    2212.58,    -256.66,  0.4329,  82.9824,   1537.001
      t44s01t43s07_usgs2_424,  0.000, 265234229.699,    1547.06,    1394.15,   -1514.46,-29.4722, 101.8657, 263852293.478,    1298.44,    2209.98,    -246.28,  0.6709,  83.1262,   1550.886
      t43s01t43s07_usgs2_426, -0.775, 263857677.562,    1161.04,    1814.27,   -1409.63,-26.9432,  87.7585, 263857677.562,    1160.58,    1814.66,   -1409.50,-26.9402,  87.7435,      0.619
      t43s01t43s07_usgs2_427, -0.529, 263857569.556,     911.48,    1979.16,   -1371.14,-26.2399,  80.2600, 263857570.946,     912.04,    1979.85,   -1369.77,-26.2035,  80.2637,      1.643
      t43s01t43s07_usgs2_428, -0.408, 263856741.082,     984.93,    1944.16,   -1370.65,-26.1284,  82.0578, 263856741.082,     985.42,    1943.80,   -1370.81,-26.1318,  82.0727,      0.621
      t43s01t43s07_usgs2_429, -0.708, 263857636.871,    1032.20,    1884.84,   -1417.36,-27.2910,  84.0895, 263857636.871,    1032.43,    1885.29,   -1416.60,-27.2708,  84.0882,      0.906
     hayes_42_5_t98s01t39s01, -0.738, 444641461.049,     -65.82,    -181.56,   -2567.01,-86.3664,-137.5209, 251463399.232,    -178.03,    -339.09,   -2545.61,-86.4235,-142.2386,     13.568
     hayes_42_5_t98s01t59s01, -0.737, 444641461.049,     -65.82,    -181.55,   -2567.01,-86.3665,-137.5218, 301721879.881,    -256.55,     -29.26,   -2561.28,-86.4401,-142.3318,     13.950
    hayes_146_7_t39s01t56s01, -0.716, 251463574.342,     203.18,    -948.77,   -2384.43,-70.0410,-152.8886, 297590984.455,    -540.36,     648.87,   -2431.86,-69.8473,-152.8297,      8.749
    hayes_188_2_t56s01t71s01, -0.635, 297591331.613,     368.97,     578.29,   -2481.29,-68.2156, -93.4601, 331734352.321,     656.61,    -598.03,   -2416.31,-67.9258, -93.3641,     13.120
    hayes_188_3_t55s01t71s01, -0.470, 296214303.309,     408.00,     618.82,   -2465.52,-66.9207, -92.9725, 331734358.594,     699.98,    -624.72,   -2397.49,-66.7274, -92.9643,      8.687
    hayes_798_1_t44s01t95s01, -0.189, 265235753.818,    1594.17,   -1822.16,     876.37, 19.9692,-164.7006, 434998550.421,    2185.24,    1224.18,     596.45, 19.8693,-164.5665,      7.226
   hayes_1236_1_t29s01t25s01, -1.018, 230895577.147,     118.66,     -85.31,    2569.83, 83.4744, -77.5096, 225386865.477,     112.94,     -97.47,    2569.65, 83.1759, -76.8527,     13.843
   hayes_1236_1_t25s01t64s01, -1.252, 225386865.477,     112.63,     -98.11,    2569.41, 83.1601, -76.8466, 315231450.369,     468.69,      21.79,    2530.62, 83.4722, -77.8372,     14.948
   hayes_1238_1_t29s01t92s01, -0.605, 230895595.148,     171.80,    -110.71,    2566.27, 83.2620, -88.7474, 426733931.765,     432.68,     -25.12,    2537.65, 83.4431, -89.6957,      9.516
   hayes_1238_1_t25s01t92s01, -0.602, 225386888.542,     174.55,    -110.85,    2566.08, 83.2698, -88.7520, 426733931.765,     432.68,     -25.13,    2537.65, 83.4429, -89.6937,      9.190
   hayes_1238_1_t64s01t92s01, -0.599, 315231460.419,     503.51,      67.86,    2523.77, 83.2723, -88.9320, 426733931.765,     432.68,     -25.15,    2537.66, 83.4427, -89.6913,      8.614
   hayes_1238_3_t29s01t92s01, -0.708, 230895598.148,     174.39,    -122.29,    2565.47, 83.0184, -89.6122, 426733934.615,     444.09,     -30.32,    2535.52, 83.1794, -90.5797,      8.923
   hayes_1238_3_t25s01t92s01, -0.709, 225386891.283,     177.03,    -122.87,    2565.26, 83.0152, -89.5927, 426733934.615,     444.09,     -30.31,    2535.52, 83.1795, -90.5802,      9.105
   hayes_1238_3_t64s01t92s01, -0.708, 315231461.759,     514.86,      67.60,    2521.37, 83.0323, -89.7304, 426733934.615,     444.09,     -30.32,    2535.52, 83.1794, -90.5797,      8.043
   hayes_1238_4_t29s01t92s01, -0.500, 230895595.548,     190.08,     -73.10,    2566.43, 84.1549, -91.1467, 426733940.600,     413.60,      11.21,    2541.03, 84.3182, -92.2486,      8.866
   hayes_1238_5_t29s01t92s01, -0.662, 230895588.347,     187.17,    -101.96,    2565.50, 83.5096, -91.4100, 426733950.648,     436.16,      -8.53,    2537.11, 83.6461, -92.5229,      8.301
   hayes_1238_5_t25s01t92s01, -0.656, 225386891.283,     189.46,    -102.38,    2565.32, 83.5070, -91.3516, 426733950.648,     436.16,      -8.55,    2537.11, 83.6458, -92.5185,      8.560
    hayes_472_1_t36s01t36s02, -0.498, 244571096.207,   -1295.46,    1950.78,   -1069.72,-23.7194,  23.6403, 244571454.943,   -1297.76,    1949.30,   -1069.63,-23.7247,  23.6676,      1.149
