Tiepoint_ID ,height,time_1,doppler_1,range_1,scpos_inert_1_x,scpos_inert_1_y,scpos_inert_1_z,scvel_inert_1_x,scvel_inert_1_y,scvel_inert_1_z,lookvec_inert_1_x,lookvec_inert_1_y,lookvec_inert_1_z,wavelength_1,time_2,doppler_2,range_2,scpos_inert_2_x,scpos_inert_2_y,scpos_inert_2_z,scvel_inert_2_x,scvel_inert_2_y,scvel_inert_2_z,lookvec_inert_2_x,lookvec_inert_2_y,lookvec_inert_2_z,wavelength_2
        t8s01t41s02_usgs2_10,  0.046, 183743989.420,  439793.91,    4450.18,   -1007.51,   -6831.89,     622.79, -2.627437,  5.134229, -0.101552,     401.42,    4348.57,    -933.33,2.1757101221e-05, 256974153.452, -398325.67,    2405.53,    3467.51,   -3491.80,    -588.14,  1.213946, -5.293228,  3.023970,   -1767.99,    1619.58,     101.28,2.1755805145e-05
        t8s01t36s04_usgs2_12, -0.437, 183743984.899,  433964.30,    4419.90,    -995.63,   -6855.10,     623.25, -2.627559,  5.133401, -0.101476,     541.05,    4322.41,    -720.41,2.1757101221e-05, 244573378.302, -460034.39,    5361.57,    5073.92,   -5116.32,   -3036.22,  3.292629, -5.096489,  0.286437,   -3334.07,    3258.43,    2646.59,2.1755687301e-05
       t13s03t36s04_usgs2_41, -0.454, 199705093.454, -478985.96,   11341.02,   -6865.45,   12025.55,    -197.08, -1.003654,  5.505730, -0.283020,    5915.31,   -9672.31,    -238.98,2.1755260208e-05, 244573378.573, -460182.43,    5362.42,    5074.81,   -5117.70,   -3036.14,  3.292603, -5.096463,  0.286452,   -3333.87,    3261.95,    2641.25,2.1755687301e-05
       t13s03t36s04_usgs2_42, -0.444, 199705094.415, -478637.43,   11346.55,   -6866.42,   12030.84,    -197.36, -1.003632,  5.505691, -0.283019,    5920.57,   -9676.68,    -243.04,2.1755260931e-05, 244573376.947, -458031.23,    5364.46,    5069.46,   -5109.41,   -3036.61,  3.292758, -5.096619,  0.286359,   -3335.21,    3240.96,    2673.43,2.1755687301e-05
       t36s04t39s03_usgs2_73,  0.000, 244573349.457, -416749.84,    5576.56,    4978.91,   -4969.27,   -3044.46,  3.295427, -5.099300,  0.284738,   -3423.26,    2931.76,    3287.68,2.1755338985e-05, 251464755.565, -478600.60,    5743.44,    3852.89,   -7197.35,    -745.49,  2.491905, -5.095523,  2.219569,   -2230.89,    5205.63,     926.45,2.1755662499e-05
      t36s01t36s02_usgs2_131,  0.000, 244570973.306,  487172.57,    5890.06,   -3297.60,    7148.46,   -2883.64,  3.527812, -4.913980, -0.387415,    1846.91,   -5181.26,    2073.56,2.1757185489e-05, 244570973.306,  487128.34,    5890.27,   -3297.60,    7148.46,   -2883.64,  3.527812, -4.913980, -0.387415,    1846.91,   -5181.26,    2073.56,2.1757185489e-05
      t36s01t36s02_usgs2_132,  0.000, 244570981.450,  489376.17,    5874.62,   -3268.87,    7108.44,   -2886.79,  3.528220, -4.914872, -0.387053,    1716.75,   -5296.62,    1917.85,2.1757181153e-05, 244570981.450,  489348.98,    5874.71,   -3268.87,    7108.44,   -2886.79,  3.528220, -4.914872, -0.387053,    1716.75,   -5296.62,    1917.85,2.1757181153e-05
      t36s01t36s02_usgs2_133,  0.000, 244571070.975,  487198.75,    5341.23,   -2952.80,    6667.98,   -2921.25,  3.532907, -4.925307, -0.382638,    1615.16,   -4735.86,    1868.51,2.1756782202e-05, 244571070.975,  487218.65,    5340.56,   -2952.80,    6667.98,   -2921.25,  3.532907, -4.925307, -0.382638,    1615.16,   -4735.86,    1868.51,2.1756782202e-05
      t36s01t36s02_usgs2_134, -0.215, 244571415.194,  449311.50,    3545.46,   -1733.17,    4964.00,   -3048.72,  3.554351, -4.979521, -0.354168,     770.13,   -3043.37,    1629.45,2.1757109358e-05, 244571179.830,  499419.59,    4769.98,   -2567.89,    6131.07,   -2962.56,  3.539110, -4.939761, -0.375968,    1563.50,   -4245.45,    1525.11,  2.17568075e-05
      t36s01t36s02_usgs2_135,  0.000, 244571243.318,  511704.28,    4612.99,   -2343.08,    5817.16,   -2986.28,  3.542987, -4.949231, -0.371243,    1479.63,   -4226.22,    1154.89,2.1756821232e-05, 244571243.318,  511681.47,    4612.78,   -2343.08,    5817.16,   -2986.28,  3.542987, -4.949231, -0.371243,    1479.63,   -4226.22,    1154.89,2.1756821232e-05
      t36s01t36s02_usgs2_136,  0.000, 244571257.992,  513184.50,    4560.23,   -2291.08,    5744.52,   -2991.72,  3.543910, -4.951541, -0.370047,    1478.25,   -4177.29,    1117.23,2.1756824846e-05, 244571947.315,  -11295.96,    1801.20,     166.98,    2278.41,   -3208.16,  3.580101, -5.127935, -0.214106,    -974.43,    -692.19,    1347.36,2.1756402978e-05
      t36s01t36s02_usgs2_137, -0.045, 244571374.275,  494543.99,    3837.73,   -1878.55,    5167.59,   -3034.13,  3.551547, -4.971629, -0.358912,    1150.98,   -3415.81,    1292.72,2.1756801718e-05, 244571374.275,  494514.06,    3837.61,   -1878.55,    5167.59,   -3034.13,  3.551547, -4.971629, -0.358912,    1150.98,   -3415.81,    1292.72,2.1756801718e-05
      t36s01t36s02_usgs2_138,  0.000, 244571386.099,  488964.09,    3827.47,   -1836.55,    5108.80,   -3038.37,  3.552352, -4.973863, -0.357591,     962.96,   -3495.36,    1231.63,2.1756790242e-05, 244571386.099,  488885.96,    3827.39,   -1836.55,    5108.80,   -3038.37,  3.552352, -4.973863, -0.357591,     962.96,   -3495.36,    1231.63,2.1756790242e-05
      t36s01t36s02_usgs2_139,  0.000, 244571097.747,  486050.45,    5192.66,   -2858.20,    6536.07,   -2931.48,  3.534381, -4.928670, -0.381144,    1584.94,   -4567.97,    1865.63,2.1756788707e-05, 244571097.747,  486075.26,    5192.58,   -2858.20,    6536.07,   -2931.48,  3.534381, -4.928670, -0.381144,    1584.94,   -4567.97,    1865.63,2.1756788707e-05
      t36s01t36s02_usgs2_140,  0.000, 244570958.455,  497390.19,    5936.49,   -3349.99,    7221.43,   -2877.88,  3.527074, -4.912377, -0.388059,    2045.22,   -5216.74,    1924.24,2.1757191995e-05, 244570958.455,  497387.06,    5936.47,   -3349.99,    7221.43,   -2877.88,  3.527074, -4.912377, -0.388059,    2045.22,   -5216.74,    1924.24,2.1757191995e-05
      t36s02t36s01_usgs2_151,  0.000, 244571480.618,  332264.97,    3523.41,   -1500.47,    4637.78,   -3071.62,  3.558917, -4.993125, -0.345481,      31.13,   -2679.85,    2272.76,2.1756925043e-05, 244571480.618,  332265.20,    3523.51,   -1500.47,    4637.78,   -3071.62,  3.558917, -4.993125, -0.345481,      31.13,   -2679.85,    2272.76,2.1756925043e-05
      t36s02t36s01_usgs2_152,  0.000, 244571059.284,  479254.24,    5464.84,   -2994.10,    6725.55,   -2916.78,  3.532275, -4.923875, -0.383264,    1499.33,   -4849.54,    1980.36,2.1756779311e-05, 244571059.284,  479262.83,    5464.62,   -2994.10,    6725.55,   -2916.78,  3.532275, -4.923875, -0.383264,    1499.33,   -4849.54,    1980.36,2.1756779311e-05
      t36s02t36s01_usgs2_153,  0.000, 244571069.043,  486511.77,    5353.66,   -2959.62,    6677.49,   -2920.51,  3.532802, -4.925069, -0.382742,    1615.78,   -4744.20,    1877.88,2.1757176306e-05, 244571069.043,  486474.62,    5353.60,   -2959.62,    6677.49,   -2920.51,  3.532802, -4.925069, -0.382742,    1615.78,   -4744.20,    1877.88,2.1757176306e-05
      t21s01t30s01_usgs2_191, -0.113, 219195628.278,  -12080.81,    1269.66,    -200.74,    2403.98,    2738.12,  3.557911,  2.871847, -3.793633,    -492.57,    -694.13,    -941.91,2.1756394986e-05, 232273481.738, -435946.03,    3565.77,    2900.10,   -2529.12,    4675.43,  4.703684, -3.542000,  1.447550,   -1982.66,    1018.12,   -2803.04,  2.17557322e-05
      t21s01t30s01_usgs2_192, -0.266, 219195623.328,   -2326.44,    1231.22,    -218.35,    2389.76,    2756.89,  3.557720,  2.874034, -3.791126,    -412.14,    -704.34,    -915.03,2.1756394986e-05, 232273447.359, -432496.84,    3401.78,    2738.32,   -2407.29,    4625.55,  4.707764, -3.545578,  1.454295,   -1865.32,     945.88,   -2693.51,2.1755723548e-05
